date,close,open,high,low,volume
2000- 01- 03,"17,369.63","17,057.70","17,426.16","17,057.70",0.0
2000- 01- 04,"17,072.82","17,303.00","17,303.00","16,933.52",0.0
2000- 01- 05,"15,846.72","16,608.55","16,608.55","15,688.49",0.0
2000- 01- 06,"15,153.23","15,942.07","15,971.03","14,763.97",0.0
2000- 01- 07,"15,405.63","15,329.34","15,513.89","15,108.75",0.0
2000- 01- 10,"15,848.15","15,631.00","16,065.09","15,631.00",0.0
2000- 01- 11,"15,862.10","15,981.13","16,196.09","15,736.17",0.0
2000- 01- 12,"15,714.20","15,691.73","15,744.04","15,545.67",0.0
2000- 01- 13,"15,633.96","15,763.26","15,861.17","15,458.63",0.0
2000- 01- 14,"15,542.23","15,741.54","15,863.48","15,322.19",0.0
2000- 01- 17,"15,574.56","15,666.06","15,827.51","15,474.39",0.0
2000- 01- 18,"15,789.20","15,575.68","15,801.07","15,508.08",0.0
2000- 01- 19,"15,275.34","15,719.04","15,719.04","15,192.28",0.0
2000- 01- 20,"15,215.31","15,347.70","15,347.70","15,078.03",0.0
2000- 01- 21,"15,108.41","15,094.90","15,120.36","14,903.70",0.0
2000- 01- 24,"15,167.55","15,233.79","15,413.75","15,020.17",0.0
2000- 01- 25,"15,103.04","15,093.53","15,150.22","14,910.29",0.0
2000- 01- 26,"15,427.72","15,164.80","15,452.72","15,164.80",0.0
2000- 01- 27,"15,917.81","15,460.21","15,925.18","15,460.21",0.0
2000- 01- 28,"16,185.94","16,052.07","16,315.74","16,023.37",0.0
2000- 01- 31,"15,532.34","15,889.05","15,889.05","15,444.82",0.0
2000- 02- 01,"15,653.86","15,600.26","15,764.40","15,580.46",0.0
2000- 02- 02,"15,789.82","15,747.56","15,957.92","15,747.56",0.0
2000- 02- 03,"15,968.12","15,795.59","16,010.03","15,702.85",0.0
2000- 02- 08,"16,228.73","16,079.89","16,285.93","15,940.31",0.0
2000- 02- 09,"16,819.46","16,456.87","16,967.90","16,456.87",0.0
2000- 02- 10,"16,845.17","16,679.79","16,874.09","16,525.56",0.0
2000- 02- 11,"17,380.30","17,024.37","17,653.65","17,024.37",0.0
2000- 02- 14,"17,188.96","17,546.47","17,939.27","17,107.90",0.0
2000- 02- 15,"16,688.16","17,257.37","17,296.97","16,548.75",0.0
2000- 02- 16,"17,043.39","16,771.10","17,144.95","16,732.81",0.0
2000- 02- 17,"16,981.23","17,075.90","17,229.15","16,770.14",0.0
2000- 02- 18,"16,599.16","16,985.30","17,027.95","16,468.95",0.0
2000- 02- 21,"16,322.37","16,412.63","16,477.10","16,136.50",0.0
2000- 02- 22,"16,255.17","16,294.94","16,442.58","15,776.35",0.0
2000- 02- 23,"16,376.79","16,313.96","16,523.65","16,297.13",0.0
2000- 02- 24,"17,058.66","16,512.57","17,083.30","16,512.57",0.0
2000- 02- 25,"17,200.98","17,279.51","17,414.46","16,905.40",0.0
2000- 02- 28,"16,984.44","17,434.72","17,746.77","16,638.46",0.0
2000- 02- 29,"17,169.44","17,140.21","17,290.07","17,021.72",0.0
2000- 03- 01,"16,843.59","17,267.27","17,275.44","16,617.95",0.0
2000- 03- 02,"16,936.81","16,996.06","17,118.40","16,769.57",0.0
2000- 03- 03,"17,285.24","16,903.55","17,361.92","16,795.80",0.0
2000- 03- 06,"17,758.76","17,500.97","17,855.21","17,500.97",0.0
2000- 03- 07,"17,865.36","17,656.47","17,876.78","17,471.74",0.0
2000- 03- 08,"17,951.43","17,687.58","18,058.97","17,323.76",0.0
2000- 03- 09,"17,637.03","18,031.78","18,249.86","17,613.80",0.0
2000- 03- 10,"17,831.86","17,727.96","18,001.54","17,574.06",0.0
2000- 03- 13,"17,096.68","17,650.62","17,786.28","16,892.65",0.0
2000- 03- 14,"16,929.16","17,125.90","17,220.26","16,837.02",0.0
2000- 03- 15,"16,747.20","16,847.30","16,901.31","16,553.17",0.0
2000- 03- 16,"16,359.00","16,775.23","16,826.25","16,315.04",0.0
2000- 03- 17,"17,082.99","16,688.04","17,096.00","16,617.18",0.0
2000- 03- 20,"17,234.46","16,878.81","17,325.15","16,708.72",0.0
2000- 03- 21,"17,199.98","17,253.04","17,345.71","16,896.70",0.0
2000- 03- 22,"17,547.04","17,418.91","17,560.69","17,274.56",0.0
2000- 03- 23,"17,710.58","17,705.26","17,856.36","17,391.97",0.0
2000- 03- 24,"17,784.57","17,768.06","17,879.37","17,577.71",0.0
2000- 03- 27,"18,292.86","17,827.71","18,350.61","17,815.68",0.0
2000- 03- 28,"18,301.69","18,272.80","18,397.57","18,188.27",0.0
2000- 03- 29,"18,096.37","18,203.13","18,249.27","17,950.20",0.0
2000- 03- 30,"17,467.15","18,011.14","18,038.47","17,456.56",0.0
2000- 03- 31,"17,406.54","17,383.63","17,537.13","17,107.44",0.0
2000- 04- 03,"16,892.93","17,444.48","17,458.06","16,872.82",0.0
2000- 04- 05,"16,318.44","16,599.07","16,736.22","16,246.53",0.0
2000- 04- 06,"16,491.39","16,416.48","16,528.58","16,283.20",0.0
2000- 04- 07,"16,941.68","16,657.84","16,992.53","16,657.84",0.0
2000- 04- 10,"16,850.74","17,038.22","17,083.27","16,676.07",0.0
2000- 04- 11,"16,487.66","16,683.40","16,683.40","16,422.27",0.0
2000- 04- 12,"16,577.09","16,391.12","16,762.86","16,267.72",0.0
2000- 04- 13,"16,352.56","16,345.26","16,470.38","16,043.85",0.0
2000- 04- 14,"16,142.76","16,254.26","16,270.77","15,906.29",0.0
2000- 04- 17,"14,762.37","15,306.05","15,306.05","14,624.33",0.0
2000- 04- 18,"15,278.32","15,158.15","15,409.67","15,158.15",0.0
2000- 04- 19,"15,427.20","15,558.52","15,667.16","15,338.10",0.0
2000- 04- 20,"15,367.14","15,425.82","15,453.65","15,213.02",0.0
2000- 04- 25,"15,380.01","15,335.89","15,531.21","15,212.92",0.0
