Unnamed: 0.1,Unnamed: 0,date,close,open,high,low,volume
0,0,2000- 01- 04,"19,002.86","19,002.86","19,002.86","19,002.86",0
1,1,2000- 01- 05,"18,542.55","18,542.55","18,542.55","18,542.55",0
2,2,2000- 01- 06,"18,168.27","18,168.27","18,168.27","18,168.27",0
3,3,2000- 01- 07,"18,193.41","18,193.41","18,193.41","18,193.41",0
4,4,2000- 01- 11,"18,850.92","18,850.92","18,850.92","18,850.92",0
5,5,2000- 01- 12,"18,677.42","18,677.42","18,677.42","18,677.42",0
6,6,2000- 01- 13,"18,833.29","18,833.29","18,833.29","18,833.29",0
7,7,2000- 01- 14,"18,956.55","18,956.55","18,956.55","18,956.55",0
8,8,2000- 01- 17,"19,437.23","19,437.23","19,437.23","19,437.23",0
9,9,2000- 01- 18,"19,196.57","19,196.57","19,196.57","19,196.57",0
10,10,2000- 01- 19,"18,897.75","18,897.75","18,897.75","18,897.75",0
11,11,2000- 01- 20,"19,008.01","19,008.01","19,008.01","19,008.01",0
12,12,2000- 01- 21,"18,878.09","18,878.09","18,878.09","18,878.09",0
13,13,2000- 01- 24,"19,056.71","19,056.71","19,056.71","19,056.71",0
14,14,2000- 01- 25,"18,895.53","18,895.53","18,895.53","18,895.53",0
15,15,2000- 01- 26,"19,111.19","19,111.19","19,111.19","19,111.19",0
16,16,2000- 01- 27,"19,209.72","19,209.72","19,209.72","19,209.72",0
17,17,2000- 01- 28,"19,434.78","19,434.78","19,434.78","19,434.78",0
18,18,2000- 01- 31,"19,539.70","19,539.70","19,539.70","19,539.70",0
19,19,2000- 02- 01,"19,423.38","19,423.38","19,423.38","19,423.38",0
20,20,2000- 02- 02,"19,578.91","19,578.91","19,578.91","19,578.91",0
21,21,2000- 02- 03,"19,786.42","19,786.42","19,786.42","19,786.42",0
22,22,2000- 02- 04,"19,763.13","19,763.13","19,763.13","19,763.13",0
23,23,2000- 02- 07,"19,945.43","19,945.43","19,945.43","19,945.43",0
24,24,2000- 02- 08,"19,868.88","19,868.88","19,868.88","19,868.88",0
25,25,2000- 02- 09,"20,007.77","20,007.77","20,007.77","20,007.77",0
26,26,2000- 02- 10,"19,710.02","19,710.02","19,710.02","19,710.02",0
27,27,2000- 02- 14,"19,556.46","19,556.46","19,556.46","19,556.46",0
28,28,2000- 02- 15,"19,367.83","19,367.83","19,367.83","19,367.83",0
29,29,2000- 02- 16,"19,599.18","19,599.18","19,599.18","19,599.18",0
30,30,2000- 02- 17,"19,791.40","19,791.40","19,791.40","19,791.40",0
31,31,2000- 02- 18,"19,789.03","19,789.03","19,789.03","19,789.03",0
32,32,2000- 02- 21,"19,543.75","19,543.75","19,543.75","19,543.75",0
33,33,2000- 02- 22,"19,390.58","19,390.58","19,390.58","19,390.58",0
34,34,2000- 02- 23,"19,519.55","19,519.55","19,519.55","19,519.55",0
35,35,2000- 02- 24,"19,571.44","19,571.44","19,571.44","19,571.44",0
36,36,2000- 02- 25,"19,817.88","19,817.88","19,817.88","19,817.88",0
37,37,2000- 02- 28,"19,720.10","19,720.10","19,720.10","19,720.10",0
38,38,2000- 02- 29,"19,959.52","19,959.52","19,959.52","19,959.52",0
39,39,2000- 03- 01,"20,081.67","20,081.67","20,081.67","20,081.67",0
40,40,2000- 03- 02,"20,065.11","20,065.11","20,065.11","20,065.11",0
41,41,2000- 03- 03,"19,927.54","19,927.54","19,927.54","19,927.54",0
42,42,2000- 03- 06,"19,796.35","19,796.35","19,796.35","19,796.35",0
43,43,2000- 03- 07,"19,944.24","19,944.24","19,944.24","19,944.24",0
44,44,2000- 03- 08,"19,766.80","19,766.80","19,766.80","19,766.80",0
45,45,2000- 03- 09,"19,662.33","19,662.33","19,662.33","19,662.33",0
46,46,2000- 03- 10,"19,750.40","19,750.40","19,750.40","19,750.40",0
47,47,2000- 03- 13,"19,189.93","19,189.93","19,189.93","19,189.93",0
48,48,2000- 03- 14,"19,141.84","19,141.84","19,141.84","19,141.84",0
49,49,2000- 03- 15,"19,078.60","19,078.60","19,078.60","19,078.60",0
50,50,2000- 03- 16,"19,253.23","19,253.23","19,253.23","19,253.23",0
51,51,2000- 03- 17,"19,566.32","19,566.32","19,566.32","19,566.32",0
52,52,2000- 03- 21,"19,602.36","19,602.36","19,602.36","19,602.36",0
53,53,2000- 03- 22,"19,733.59","19,733.59","19,733.59","19,733.59",0
54,54,2000- 03- 23,"19,704.60","19,704.60","19,704.60","19,704.60",0
55,55,2000- 03- 24,"19,958.08","19,958.08","19,958.08","19,958.08",0
56,56,2000- 03- 27,"20,281.03","20,281.03","20,281.03","20,281.03",0
57,57,2000- 03- 28,"20,374.34","20,374.34","20,374.34","20,374.34",0
58,58,2000- 03- 29,"20,706.65","20,706.65","20,706.65","20,706.65",0
59,59,2000- 03- 30,"20,441.50","20,441.50","20,441.50","20,441.50",0
60,60,2000- 03- 31,"20,337.32","20,337.32","20,337.32","20,337.32",0
61,61,2000- 04- 03,"20,726.99","20,726.99","20,726.99","20,726.99",0
62,62,2000- 04- 04,"20,594.93","20,594.93","20,594.93","20,594.93",0
63,63,2000- 04- 05,"20,462.77","20,462.77","20,462.77","20,462.77",0
64,64,2000- 04- 06,"20,223.61","20,223.61","20,223.61","20,223.61",0
65,65,2000- 04- 07,"20,252.81","20,252.81","20,252.81","20,252.81",0
66,66,2000- 04- 10,"20,619.06","20,619.06","20,619.06","20,619.06",0
67,67,2000- 04- 11,"20,522.52","20,522.52","20,522.52","20,522.52",0
68,68,2000- 04- 12,"20,833.21","20,833.21","20,833.21","20,833.21",0
69,69,2000- 04- 13,"20,526.42","20,526.42","20,526.42","20,526.42",0
70,70,2000- 04- 14,"20,434.68","20,434.68","20,434.68","20,434.68",0
71,71,2000- 04- 17,"19,008.64","19,008.64","19,008.64","19,008.64",0
72,72,2000- 04- 18,"18,969.52","18,969.52","18,969.52","18,969.52",0
73,73,2000- 04- 19,"19,086.62","19,086.62","19,086.62","19,086.62",0
74,74,2000- 04- 20,"18,959.32","18,959.32","18,959.32","18,959.32",0
75,75,2000- 04- 21,"18,252.68","18,252.68","18,252.68","18,252.68",0
76,76,2000- 04- 24,"18,480.15","18,480.15","18,480.15","18,480.15",0
77,77,2000- 04- 25,"18,272.33","18,272.33","18,272.33","18,272.33",0
78,78,2000- 04- 26,"18,134.31","18,134.31","18,134.31","18,134.31",0
79,79,2000- 04- 27,"18,019.17","18,019.17","18,019.17","18,019.17",0
80,80,2000- 04- 28,"17,973.70","17,973.70","17,973.70","17,973.70",0
81,81,2000- 05- 01,"18,403.08","18,403.08","18,403.08","18,403.08",0
82,82,2000- 05- 02,"18,439.36","18,439.36","18,439.36","18,439.36",0
83,83,2000- 05- 08,"18,199.96","18,199.96","18,199.96","18,199.96",0
84,84,2000- 05- 09,"17,844.54","17,844.54","17,844.54","17,844.54",0
85,85,2000- 05- 10,"17,701.47","17,701.47","17,701.47","17,701.47",0
86,86,2000- 05- 11,"16,882.46","16,882.46","16,882.46","16,882.46",0
87,87,2000- 05- 12,"17,357.86","17,357.86","17,357.86","17,357.86",0
88,88,2000- 05- 15,"17,313.69","17,313.69","17,313.69","17,313.69",0
89,89,2000- 05- 16,"17,551.25","17,551.25","17,551.25","17,551.25",0
90,90,2000- 05- 17,"17,404.03","17,404.03","17,404.03","17,404.03",0
91,91,2000- 05- 18,"17,031.63","17,031.63","17,031.63","17,031.63",0
92,92,2000- 05- 19,"16,858.17","16,858.17","16,858.17","16,858.17",0
93,93,2000- 05- 22,"16,386.01","16,386.01","16,386.01","16,386.01",0
94,94,2000- 05- 23,"16,318.73","16,318.73","16,318.73","16,318.73",0
95,95,2000- 05- 24,"16,044.44","16,044.44","16,044.44","16,044.44",0
96,96,2000- 05- 25,"16,247.82","16,247.82","16,247.82","16,247.82",0
97,97,2000- 05- 26,"16,008.14","16,008.14","16,008.14","16,008.14",0
98,98,2000- 05- 29,"16,245.44","16,245.44","16,245.44","16,245.44",0
99,99,2000- 05- 30,"16,228.90","16,228.90","16,228.90","16,228.90",0
100,100,2000- 05- 31,"16,332.45","16,332.45","16,332.45","16,332.45",0
101,101,2000- 06- 01,"16,694.30","16,694.30","16,694.30","16,694.30",0
102,102,2000- 06- 02,"16,800.06","16,800.06","16,800.06","16,800.06",0
103,103,2000- 06- 05,"17,201.79","17,201.79","17,201.79","17,201.79",0
104,104,2000- 06- 06,"17,170.08","17,170.08","17,170.08","17,170.08",0
105,105,2000- 06- 07,"17,144.96","17,144.96","17,144.96","17,144.96",0
106,106,2000- 06- 08,"17,004.34","17,004.34","17,004.34","17,004.34",0
107,107,2000- 06- 09,"16,861.91","16,861.91","16,861.91","16,861.91",0
108,108,2000- 06- 12,"16,980.61","16,980.61","16,980.61","16,980.61",0
109,109,2000- 06- 13,"16,914.95","16,914.95","16,914.95","16,914.95",0
110,110,2000- 06- 14,"16,654.42","16,654.42","16,654.42","16,654.42",0
111,111,2000- 06- 15,"16,338.70","16,338.70","16,338.70","16,338.70",0
112,112,2000- 06- 16,"16,318.31","16,318.31","16,318.31","16,318.31",0
113,113,2000- 06- 19,"16,591.35","16,591.35","16,591.35","16,591.35",0
114,114,2000- 06- 20,"16,907.55","16,907.55","16,907.55","16,907.55",0
115,115,2000- 06- 21,"17,210.08","17,210.08","17,210.08","17,210.08",0
116,116,2000- 06- 22,"17,106.01","17,106.01","17,106.01","17,106.01",0
117,117,2000- 06- 23,"16,963.21","16,963.21","16,963.21","16,963.21",0
118,118,2000- 06- 26,"16,925.40","16,925.40","16,925.40","16,925.40",0
119,119,2000- 06- 27,"17,279.06","17,279.06","17,279.06","17,279.06",0
120,120,2000- 06- 28,"17,370.17","17,370.17","17,370.17","17,370.17",0
121,121,2000- 06- 29,"17,475.90","17,475.90","17,475.90","17,475.90",0
122,122,2000- 06- 30,"17,411.05","17,411.05","17,411.05","17,411.05",0
123,123,2000- 07- 03,"17,614.66","17,614.66","17,614.66","17,614.66",0
124,124,2000- 07- 04,"17,470.15","17,470.15","17,470.15","17,470.15",0
125,125,2000- 07- 05,"17,435.95","17,435.95","17,435.95","17,435.95",0
126,126,2000- 07- 06,"17,282.37","17,282.37","17,282.37","17,282.37",0
127,127,2000- 07- 07,"17,398.24","17,398.24","17,398.24","17,398.24",0
128,128,2000- 07- 10,"17,572.68","17,572.68","17,572.68","17,572.68",0
129,129,2000- 07- 11,"17,504.36","17,504.36","17,504.36","17,504.36",0
130,130,2000- 07- 12,"17,342.13","17,342.13","17,342.13","17,342.13",0
131,131,2000- 07- 13,"17,036.90","17,036.90","17,036.90","17,036.90",0
