date,close,open,high,low,volume
2000- 01- 04,"1,059.04","1,028.33","1,066.18","1,016.59",195900000.0
2000- 01- 05,986.31,"1,006.87","1,026.52",984.05,257700000.0
2000- 01- 06,960.79,"1,013.95","1,014.90",953.50,203520000.0
2000- 01- 07,948.65,949.17,970.16,930.84,215660000.0
2000- 01- 10,987.24,979.67,994.94,965.02,240180000.0
2000- 01- 11,981.33,992.17,"1,005.87",981.23,257070000.0
2000- 01- 12,955.01,957.98,976.86,949.20,227080000.0
2000- 01- 13,951.05,955.06,960.73,939.25,223000000.0
2000- 01- 14,948.03,958.82,970.59,937.75,224960000.0
2000- 01- 17,983.27,962.67,986.09,950.75,212060000.0
2000- 01- 18,981.53,992.31,992.85,967.96,212080000.0
2000- 01- 19,938.78,969.31,977.00,938.74,235730000.0
2000- 01- 20,945.90,927.12,945.90,906.26,226680000.0
2000- 01- 21,925.16,928.55,942.20,911.83,255140000.0
2000- 01- 24,926.77,917.93,944.31,915.70,210410000.0
2000- 01- 25,891.22,909.12,918.48,891.22,242590000.0
2000- 01- 26,885.54,896.34,902.43,875.82,231150000.0
2000- 01- 27,909.23,888.27,912.49,879.00,344910000.0
2000- 01- 28,941.67,922.74,943.95,911.12,293140000.0
2000- 01- 31,943.88,924.83,948.84,922.92,289440000.0
2000- 02- 01,928.75,955.44,959.31,923.52,306140000.0
2000- 02- 02,943.59,929.69,950.13,923.40,310410000.0
2000- 02- 03,950.22,950.26,959.00,934.11,277120000.0
2000- 02- 07,973.13,953.23,982.03,951.31,271760000.0
2000- 02- 08,961.22,977.07,981.42,960.47,229490000.0
2000- 02- 09,976.05,967.53,979.92,959.13,240450000.0
2000- 02- 10,966.18,966.36,991.71,957.73,251620000.0
2000- 02- 11,953.22,990.11,990.75,941.24,274780000.0
2000- 02- 14,910.87,932.94,941.23,907.91,234180000.0
2000- 02- 15,879.70,916.89,919.43,875.05,218600000.0
2000- 02- 16,879.50,881.03,886.63,843.58,214050000.0
2000- 02- 17,897.52,869.35,901.83,869.35,212420000.0
2000- 02- 18,879.14,900.71,918.04,879.14,258280000.0
