date,close,open,high,low,volume
2000- 01- 03,"4,131.15","4,186.19","4,192.19","3,989.71",0.0
2000- 01- 04,"3,901.69","4,020.00","4,073.25","3,898.23",0.0
2000- 01- 05,"3,877.54","3,854.35","3,924.21","3,734.87",0.0
2000- 01- 06,"3,727.13","3,834.44","3,868.76","3,715.62",0.0
2000- 01- 07,"3,882.62","3,711.09","3,882.67","3,711.09",0.0
2000- 01- 10,"4,049.67","4,002.23","4,072.36","3,882.63",0.0
2000- 01- 11,"3,921.19","4,031.38","4,066.66","3,904.82",0.0
2000- 01- 12,"3,850.02","3,950.95","3,950.98","3,834.53",0.0
2000- 01- 13,"3,957.21","3,915.14","3,957.47","3,858.22",0.0
2000- 01- 14,"4,064.27","4,045.72","4,091.95","4,045.72",0.0
2000- 01- 18,"4,130.81","4,059.65","4,148.00","4,053.21",0.0
2000- 01- 19,"4,151.29","4,116.27","4,164.65","4,084.73",0.0
2000- 01- 20,"4,189.51","4,205.06","4,227.35","4,143.61",0.0
2000- 01- 21,"4,235.40","4,236.65","4,238.00","4,168.30",0.0
2000- 01- 24,"4,096.08","4,290.38","4,303.15","4,095.31",0.0
2000- 01- 25,"4,167.41","4,124.75","4,167.63","4,028.51",0.0
2000- 01- 26,"4,069.91","4,174.72","4,174.72","4,069.91",0.0
2000- 01- 27,"4,039.56","4,120.50","4,140.09","3,973.59",0.0
2000- 01- 28,"3,887.07","4,010.14","4,048.31","3,856.23",0.0
2000- 01- 31,"3,940.35","3,873.84","3,940.46","3,748.03",0.0
2000- 02- 01,"4,051.98","3,961.07","4,053.16","3,911.84",0.0
2000- 02- 02,"4,073.96","4,059.03","4,125.75","4,051.44",0.0
2000- 02- 03,"4,210.98","4,134.65","4,211.06","4,085.53",0.0
2000- 02- 04,"4,244.14","4,242.15","4,294.84","4,210.99",0.0
2000- 02- 07,"4,321.77","4,274.03","4,321.96","4,244.15",0.0
2000- 02- 08,"4,427.50","4,370.01","4,428.48","4,370.01",0.0
2000- 02- 09,"4,363.24","4,460.18","4,460.76","4,362.74",0.0
2000- 02- 10,"4,485.63","4,390.16","4,485.67","4,357.69",0.0
2000- 02- 11,"4,395.45","4,489.33","4,489.79","4,360.54",0.0
